text,type
"இவ்வளவு பெரிய school ல camera இருக்காதா தற்கொலை செய்து இருந்தால் வீடியோ காட்சிகள் காண்பித்து நிரூபித்து இருக்கலாம் Srimathi இன் suicide letter police இ டம் கொடுத்தவர்கள்  recorded video,cctv photage yaen கொடுக்கவில்லை. சரியான ஆதாரம் கான்பிக்கமல் பெற்றோர்கள் மனம் எப்படி ஏற்றுக்கொள்ளும் justice for Srimathi. Andha தாயின் நிலமை பற்றி யோசித்தால் ஈரகுளையே நடுங்குகிறது. அந்த குழந்தை எப்படி, என்ன பாடுபட்டு இறந்ததோ, அந்த குடும்பம் எப்படி இதை  யேற்றுகொள்ளும் justice for Srimathi. 😢😢😢😢😢🌹🌹🌹🌹🌹🌹🌹🌹🌹RIP Om சாந்தி",tamil_english
Anna thanks...anna,tanglish
Press உண்மையாக இருந்தால் இந்த நாட்டில் தப்பேநடக்காது,tamil_english
என்ன மதன் இன்னிக்கு நடந்த kalavaara காரணம் இந்த video than reason u soluuranga,tamil_english
தமிழ்நாட்டில் மீடியா நயன்தாரா first night நடத்துச்சா இல்லை ஆராய்ச்சி தான் பண்ணுவங்க  மீடியா அனைத்து கார்ப்பரேட்  முதலைகள்,tamil_english
Media ஆளும் கட்சி எப்டி பேசுவான்,tamil_english
கள்ளக்குறிச்சி காவல்துறை SP யை குற்றவாளியாக விசாரித்தாலே உண்மை விளங்கும்.,tamil_english
அண்ணா நீங்க உண்மையான ஹீரோ அண்ணா..... 😘 thank you So Muck anna😘💯,tamil_english
இந்த வீடியோவை பகிருங்கள் இதனால் தவறு குறையுமா  தெரியல  ஆனா பகிருங்கள் pla,tamil_english
"தங்களின் சமூக பெருமைக்காக தன் பிள்ளைகளை வெளியூர் விடுதிகளில் சேர்த்துவிட்டு. தன் பிள்ளைகளோடு நேரடி தொடர்பை இழந்தது மட்டும் அல்லாமல். ஒன்றிற்கும் உதவாத TV நாடகங்களோடும், தொடர்களோடும் தொடர்ந்து தொடர்பில் இருக்கும் தரம் கெட்ட மற்றும் தகுதியற்ற பெற்றோர்கள் உள்ள வரை கள்ளக்குறிச்சி போன்ற சம்பவங்கள் தொடர்ந்து கொண்டு தான் இருக்கும்.
Negativity அ மட்டுமே பரப்பும் ஒருவர் கூட நல்குடும்ப சீரமைப்பு பற்றி பேசவும் மாட்டீர்கள், கடைபிடிக்கவும் மாட்டீர்கள்.",tamil_english
"குழந்தைங்க மார்க் வாங்கணும்..னு தானே அனுப்பரீங்க.. அதுவே முதல்ல தப்பு.. why you need an international school.. have they produced any scientist, mathematician, economist ? ஒரு எழவும் இல்ல..  பின்ன என்ன வெங்காயத்துக்கு அங்க போய் சேக்குறீங்க..  இங்க மக்கள் மாறாதவரை எதுவும் மாறாது. பள்ளி , கல்லூரிகள் வியாபாரமயமாகி பல வருடங்கள் ஆச்சு.. வீடியோ..ல பாத்தா அந்த பள்ளி.. ஸ்டார் ஹோட்டல்  மாதிரி இருக்கு.. இந்த மாதிரி பள்ளி இருந்தா தான் சேர்ப்பீங்களா ? ஆம் என்றால்.. நம் பிள்ளைகள் சபிக்கப்பட்டவர்கள்..",tamil_english
"வாழ்க்கைக்கு கல்வி தேவையே தவிர கல்வியே வாழ்க்கை இல்லை
இது கண்டிப்பாக தற்கொலை  அல்ல +1 இல் 500க்கு மேல் க்கு மேல் மதிப்பெண் பெற்ற
 மாணவி +2வில் படிப்பின் அழுத்தால்  தற்கொலை செய்ய
வாய்ப்பேயில்லை கண்டிப்பாக கொலைக்கு வாய்ப்பு அதிகம் உள்ளது  பள்ளியின் பெயர்  சக்தி  international school",tamil_english
Vaa thalaiva madan edhum neegale besta edhum sollunga... Fst schooll oor collage gu mbl not allowed pana sollunga neraya .. Peru maralam nalla irpanga  nalla life ((ipadiki indha mari  plbms ku idhu kuda oru reason tha bro... Rip sree madhi,tanglish
"திமுக நல்லாச்சி வாழ்க 
திருடர்களை ஆட்சியில் இன்னும் எத்தனை கொலைகள் நடக்குமோ?திராவிட தேசிய கட்சிகளை ஆட்சிக்கு அமர்த்திய மக்களே ஒரு நல்ல தலைவன் இருக்கின்றான் நாம் தமிழர் கட்சியினை ஆட்சியில் அமர வையுங்கள் படித்த இஞைனர்கள் உள்ள கட்சி NTK ஆதரித்து ஆட்சியில் ஒருதடவை அமரவைத்துப்பாருங்கள் நல்ல தமிழகம் பிறக்கும்",tamil_english
"அவங்க என்னது சொன்னாங்க
இவங்க இன்னது சொன்னாங்க
சரி மதன் நீங்க இதப்பதி என்னா
சொல்றீங்க? ஏதாவது  ஒரு sollution
நீங்க சொல்லணும்.ஆனா நீங்க சொல்ல மாட்டீங்க. சரி மதன் நான் சொல்லறேன்.
ஒட்டு மொத்த தமிழ் நாட்ல ஏன்
இந்தியாவிலே பாலிய குற்றங்கள்
நடப்பதற்கு காரணம் என்ன என்று ஆராய்ந்தால் ஒழுக்கம் இல்லாததே
காரணம். இதற்கு என்ன செய்யலாம்.என்றால்  முதல் வகுப்பிலிருந்து முதல்  period டே
நல்லொழுக்கம் சொல்லித்தர வேண்டும்.நன்னெறி கதைகளை
சொல்லி தர வேண்டும். சரித்திர நாயகன் வீர சிவாஜியாக மாறியது தான் தாயார் சொல்லி குடுத்த நன்னெறி கதைகளே ஆகும். தேசத்தின் தந்தை மகாத்மா ஆனதற்கு காரணம் அரிச்சந்திர புராணம் ஆகும்.. தாமஸ் ஆல்வா எடிசன் படிப்பிற்கு லாயக்கு இல்லாதவர் என்று ஆசிரியர் கூறியதும் தன் பிள்ளைக்கு பாடம் நடத்த ஆசிரியர் தான் லாயக்கு இல்லாதவர் என்று பின்னாலில் உணரப்ட்டதிருக்கு காரணம் அவர் தாயின் அன்பான வார்த்தைகளும் தன்னால் முடியும் என்ற நம்பிக்கை ஊட்டலுமே காரணம். இதை மதன் கௌரி உணர்ந்து அடுத்த பதிவில் நல்லொழுக்கம் வேண்டும் மாணவர்களுக்கு என்ற தலைப்பில் கூற வேண்டும்👍💙🙏",tamil_english
அப்பட்டமாக தெரிகிறது இது தற்கொலை இல்லை கொலைதான்  என்று. பாடசாலை CCTV footage பார்வையிடக்கூடவா முடியவில்லை. அதெப்படி முக்கியான இடத்தில் நடக்கும் கொலைகள் அனைத்ததும் நடக்கும் போது மட்டும் கேமராக்கள் செயல்படாமல் போனது.,tamil_english
Porattam vellum வரை போராடுவோம் எங்களுக்கு ஆதரவு தாருங்கள் by Salem நண்பன்,tamil_english
"Yes சரிதான்
முல்லை கொலை",tamil_english
ஒரே வீடியோ தா total ஸ்கூல் um காலி 💥,tamil_english
India 6 place ........ Yethkume Projanam Eillatha India ........ Govt 😤👿 Sollave Theva Eilla Avunga Monthly Salary Nalla Vangittu Poranga ...... Kevalama Erukuuu Just 1 Step Eaduthuu Antha Scl Ahh Yarillam Anthan Ponnuku torture Kuduthangalla Avunga Eailaraum Saga Adikanum...... 👿👿👿....... & Tq for Your Speeching Madan Anna 💔,tanglish
"Yes bro...
என்னுடைய மனநிலையும் இதுதான்",tamil_english
Bro13 th than antha ponni madiyila iruthu keela vilunthu irukkuna 12 bakritha anaiku ethachum nadanthurukka vaiyppu இருக்கு...,tamil_english
"நண்பா எனக்கு ஒரு சந்தேகம் நமது தங்கை ஸ்ரீமதி அவர்கள் எழுதிய கடிதத்தில் தன்னை இரண்டு ஆசிரியர்கள் சித்திரவதை செய்ததால் தற்கொலை செய்து கொண்டேன் என்று எழுதிய ஸ்ரீமதிக்கு, இந்த இரண்டு ஆசிரியர்கள் தான் என்று எழுதத் தெரிந்திருக்காதா என்ன? Justice for Srimathi😔😔😔😔",tamil_english
"அந்த பள்ளி பெயர் shakti mtric பள்ளி,. இவை unmamai",tamil_english
♥️Polimer news ♥️kku வாழ்த்துக்கள்,tamil_english
தட்டி கேப்போம் 💯 Justice for srimathi,tamil_english
இது போன்ற சம்பவங்கள் தொடர்ந்து நடந்துகொண்டே உள்ளது.தீர்வுகள் மட்டும் கிடைப்பதில்லை 😒தண்டனைகள் கடுமையானால் குற்றங்கள் குறையும்... RIP SRIMATHI 😭பெண்கள் வேறு எங்கு தான் போவது,tamil_english
கள்ளக்குறிச்சி பள்ளியின் தலைவர் சக்தி ரவிக்குமார் கள்ளக்குறிச்சி BJP யின் மண்டல செயலாளர்,tamil_english
Very level thala❤😮,tanglish
Mass❤😂thala🎉😂❤,tanglish
That nalla pazhutturukku moment.😁 VERA LEVEL.,tanglish
Super arumai nalla oru punniyam 😊😊😊,tanglish
Neenga seida unau periyawangalakku parimarum podu romba paniwodum mariyadayodum anda welayei pannaringa.....ongaludaya nalla manasakku eppawume nalla irippinga....god bless you.....na ilangail irandalum unga videos pakkarpodu nanum ungalodu irrukkaru madi feel agudu....en moli sinhala analum nan neenga pesaru molikku romba ishtam....❤❤❤❤❤,tanglish
Sanki அண்ணாமலை,tamil_english
Bro English la கீழ caption podunka,tamil_english
அச்சா லகா வீடியோ apk 11:27,tamil_english
"Bro முருகா உங்களுக்கு துணை first time Unga video watch pannura bro waterlemen video vara level 
நிறை பேரூக்கு முக்கியமாக ஆதரவற்றகளுக்கு உணவு நீங்கள் வழங்க வேண்டும். ஒவ்வொரு விடியோவில் நீங்கள் செய்யும் உதவி உலகில் உயரமான மலையே விட உங்கள் உழைப்பு உயர்த்தும் நிம்மதியுடன் ஒற்றுமையாக இருங்கள்",tamil_english
உங்களை போல நானும் பிறர்கு உதவி செய்து வாழ ஆசை படுகிறேன் God gifted for your blessings Anna & ayya,tamil_english
அட கிருக்குப் பயபுள்ளேளா? சின்னப்புள்ளத்தனம்மா. so sweet boys.❤❤❤,tamil_english
nalla otu tunungada badu,tanglish
nalla otu tunnaporum always welcomes u,tanglish
Hi Anna thattha super sapetom nalla erukkinkla,tanglish
முதலிலிருந்து கடைசி வரை skip செய்யாமல் பார்க்கும் video,tamil_english
Neengal seitha iss romba suppar bro's athai neengal koduppath'amma appaakkala  eruppaourkku.❤❤❤ neengal nalla irukkanum vaalga valamudan 🎉🎉🎉.,tanglish
"மிகவும் சுவையான ஐஸ் 😋🤤
Love from KARNATAKA 💛❤️",tamil_english
அய்யனார் அண்ணா நீங்க கருப்பட்டி ice சாப்பிடவே இல்ல... அப்புறம் எப்படி டேஸ்ட் பத்தி சொல்லுறீங்க...,tamil_english
"Iindha madhiri samugasavai seiravangala iindha jenmathula earth muluvathum thedunakhoda kidaikka mattanga


தலைவா",tamil_english
Wow super வேற level 🙏🏻🙏🏻🙏🏻😃😃😃😃🥝🍉🍉🍦,tamil_english
Ffෆ්ග්ක්க்ப்ப்ச்க்க்ப்ෆ්ෆ්ග්ෆ්ක්ப்க்ப்க்ப்ப்,tamil_english
Mm mm mm nalla resam und 😋,tanglish
Nalla sapparinga da,tanglish
Vera level thala,tanglish
கொய்யா பழம் missing i,tamil_english
Ayyanar nalla thinnura.ana katha pesura,tanglish
"Vaalga valamudan. 
Vaalga உங்கள் பொது நல சேவை ❤😊",tamil_english
Super nalla sapadre,tanglish
Thala,tanglish
Palap pazham போடவில்லை,tamil_english
colourful a iruku sila palam enake name theriyala greandpa nalla 👌solraru 👌❤️😍,tanglish
Good morning ☀️ Anna  ungada Nalla manasukku annada valtukkal colour full salad 🥗 really nice 👍😍 Nan Sri Lanka fazeena fazly,tanglish
Ur cleaning super sir,tanglish
மனதில் பட்டதை செய்து famous ஆகின்ற காரியம்,tamil_english
"Iyya where is  jackfruit 🍈
ஐயா பலாப்பழம் எங்க ?.",tamil_english
"Iyēcu uṅkaḷai mikavum nēcikkiṟār eṉpatai aṟintu koḷḷuṅkaḷ, avarait tēṭuṅkaḷ, nīṅkaḷ avaraik kaṇṭupiṭippīrkaḷ, avar oru nalla tantai, avarait tavira vēṟu kaṭavuḷ illai, avaruṭaiya makkaḷiṉ pukaḻccikaḷil vēṟu enta kaṭavuḷ vāḻkiṟār? Allatu avarkaḷukkuḷḷēyē taṅki, avarkaḷai orupōtum viṭṭuviṭamāṭṭēṉ allatu kaiviṭamāṭṭēṉ eṉṟu uṟutiyaḷikkiṟārkaḷā? Uṅkaḷ pāvaṅkaḷukkāka ciluvaiyil marittu narakattaiyum maraṇattaiyum kallaṟaiyaiyum tōṟkaṭittu 3vatu nāḷil uyirtteḻunta isravēliṉ kaṭavuḷait tavira vēṟu kaṭavuḷ illai. Nīṅkaḷ ceyya vēṇṭiyatu ellām uṅkaḷ vāyāl oppukkoṇṭu, iyēcuvai āṇṭavar eṉṟu uṅkaḷ itayattil nampuṅkaḷ, uṅkaḷ pāvaṅkaḷai avariṭam varuntuṅkaḷ, avar uṅkaḷai vacippiṭuvār, uṅkaḷ ellā pāvaṅkaḷaiyum maṉṉippār, nīṅkaḷ iraṭcikkappaṭuvīrkaḷ, uṅkaḷuṭaṉ nittiyattai celaviṭuvīrkaḷ, atutāṉ. Itu uṅkaḷukku ilavaca paricu. Kaṭavuḷ uṅkaḷai ācīrvatittu, kāttu, avaruṭaiya mukattai uṅkaḷ mītu pirakācikkavum, iyēcuviṉ nāmattil uṅkaḷukku kirupai ceyyavum nāṉ jepikkiṟēṉ, āmeṉ. 💕Nāṉ uṉṉai nēcikkiṟēṉ, iyēcuvum uṉṉai nēcikkiṟār.",tanglish
தாத்தா உங்கள் mobile number வேண்டும். நான் திருச்சியில் ஒரு பிரபல கல்லூரியில் பேராசிரியராக  பணியாற்றி வருகிறேன்.,tamil_english
Strawberry -  புளிப்பு பழம்😂😂😂😂😂😂😂,tamil_english
nalla otu tunrom vanga always welcomes you,tanglish
"I am from Firozabad Uttar Pradesh. We always watch your videos. Love from Firozabad (The Glass City)

உங்கள் அனைவருக்கும் எங்களின் அன்பும் வாழ்த்துகளும், நாங்கள் எப்போதும் உங்கள் வீடியோக்களை பார்க்கிறோம், மீண்டும் மீண்டும் பார்க்கிறோம். கண்ணாடி வளையல்கள் மற்றும் கண்ணாடிப் பொருட்களுக்குப் பெயர் பெற்ற உத்திரப்பிரதேச ஃபிரோசாபாத் நகரவாசிகள் நாங்கள்.
😊😊😊😊😊🥰🥰🥰🥰🥰",tamil_english
"ஆல் இஸ் வேலகம்ஸ் யூன்னு செல்லாதீங்க (ALL IS WELCOMES YOU)

ஆல் ஆர் வேல்கம்ஸ் யூன்னு செல்லுங்க (ALL ARE WELCOMES YOU)",tamil_english
nalla otu tunrom vanga always welcomes you,tanglish
"I am from Firozabad Uttar Pradesh. We always watch your videos. Love from Firozabad (The Glass City)

உங்கள் அனைவருக்கும் எங்களின் அன்பும் வாழ்த்துகளும், நாங்கள் எப்போதும் உங்கள் வீடியோக்களை பார்க்கிறோம், மீண்டும் மீண்டும் பார்க்கிறோம். கண்ணாடி வளையல்கள் மற்றும் கண்ணாடிப் பொருட்களுக்குப் பெயர் பெற்ற உத்திரப்பிரதேச ஃபிரோசாபாத் நகரவாசிகள் நாங்கள்.
😊😊😊😊😊🥰🥰🥰🥰🥰",tamil_english
"ஆல் இஸ் வேலகம்ஸ் யூன்னு செல்லாதீங்க (ALL IS WELCOMES YOU)

ஆல் ஆர் வேல்கம்ஸ் யூன்னு செல்லுங்க (ALL ARE WELCOMES YOU)",tamil_english
Anna ongada kaiku kavar onnu pottu samayal pannena nalla irukkum,tanglish
Hai kulos pottu samaiyal pannuga innu nalla irukku😂,tanglish
Super sir 👌,tanglish
ஐயனார் அண்ணா மற்ற அண்ணன்மார்கள் தாத்தா வயதான முதியோருக்கும் அனாதை குழந்தைகளுக்கும் உணவளித்து கடவுள் நிலைக்கு உயர்ந்து விட்டார்கள் I love village cooking channel 🙏🏻🙏🏻🙏🏻🙏🏻❤️❤️❤️,tamil_english
எனக்கு village cooking channel ரொம்ப பிடித்து உள்ளது daily உங்கள் வீடியோவை விரும்பி பார்ப்பேன்,tamil_english
"எப்போ பார்த்தாலும் எத்தனை முறை பார்த்தாலும் சலிக்காத ஒரு channel என்றால் அது Village cooking channel❤  தான்

இலங்கையில் இருந்து 🇱🇰",tamil_english
Best Cooking Channel of in நீலகிரி நேர்மையன சமையல் Chife நீங்கள்தான் அண்ணங்கல,tamil_english
ஒன்லி youtube மட்டும்தானா இல்ல வீட்ல எதுவும் விசேஷம் எல்லாம் வந்து சமைச்சு தருவீங்களா என்னன்னு பாத்துட்டு மெசேஜ் பண்ணுங்க உங்க நம்பர் அனுப்புங்க ஒரு பெரிய விசேஷம் இருக்கு பெருசா சமைக்கணும் பதில் சொல்லுங்க இல்லனா நம்பர் அனுப்புங்க,tamil_english
Super   brother s   இதே   போல்  நிறைய   வீடியோ    போடுங்க,tamil_english
Hiii Bro...❤  I'm Work in Europe... ரொம்ப புடிக்கும் உங்க  Vlogs lam... பசி எடுக்கலன்னா Village Cooking Channel பாத்தா போதும்... எனக்கு பயங்கரமா பசி எடுத்துரும்... 😄 My native Aranthangi pakkam than Pattukkottai...I will meet you all one day...😊,tamil_english
Naan intha video vai 2024 December month romba nalla irukku unga yella vidioum. All the best.innum nalla nalla video podunga,tanglish
😢 Nalla Rike  Odisha paya,tanglish
Neenga nalla irupeenga ithana peruku sappadu podreenga. Athu than perusu,tanglish
4 varum munjeila oru santhosam + thatha unmaiela supper oru selar munjeiya sulicchuruvanga nenga thatha ku nalla corporate pandrega bro very supper,tanglish
Eillarum nalla veli seirega bro nenga 4 varum + thatha supper ❤,tanglish
கேமரா மேன் அண்ணா நீங்களும் சாப்பிடறத நாங்களும் பார்க்கனும்  please 🙏,tamil_english
உங்களுக்கு எந்த ஊரு bro,tamil_english
Super sir  street peoples ki food supply cheyyadam really so great sir,tanglish
இவ்ளவு சமையலுக்கும் மசாலா அரச்ச ஐயனார் ஒரு like.தெரியான தடபுடலான சாப்பாடு.அருமை.வாழ்த்துக்கள் தம்பிகளா!❤❤❤❤❤,tamil_english
"நான் இங்கு வந்து உங்கள் இடத்தில் சாப்பிட விரும்புகிறேன்

Nāṉ iṅku vantu uṅkaḷ iṭattil cāppiṭa virumpukiṟēṉ",tamil_english
Neenga romba naaalikki nalla iruppinga thala 💯🤝👍🙏,tanglish
💕 செம்மையா சமைக்கிறோம் பயங்கரமா ருசிக்கிறோம் இன்னைக்கு ஒரு பிடி எல்லாரும் வாங்க Always Welcomes You மங்களகரமா மஞ்சள்ல ஆரம்பிப்போம் 💕,tamil_english
Nalla manam sir ungalukku Ivan seetharaman,tanglish
Bro nalla araikurenga amme kallula.👌,tanglish
"Nice recipe, super sir",tanglish
அண்ணா மாட்டுகரி சால்னா செய்ங்க pls,tamil_english
Entha channeloda sirappe kadaiseela avangalukku neenga saappadu podurathuthan neenga nalla erukkanum vaalththuhal,tanglish
அம்மி கல் அய்யனார் அண்ணா fans யாரு 🙋🏻‍♂️🙋🏻‍♂️🙋🏻‍♂️,tamil_english
தயவு subscribe 🔔,tamil_english
"ஐயா வணக்கம்
இந்த விருந்து எனது ஊர் சேலம் 
செய்ய முடியுமா
உங்கள் ரசிகன்
GAVASKAR

How to contact you
Need your address or contact information



GAVASKAR Maths expert from Salem",tamil_english
Super sir.wonderful work,tanglish
உங்க சாப்பாடு பாக்குற போதே பசி வருது  very nice 👌,tamil_english
Bro உங்க ஊர் என்ன ஊர் bro,tamil_english
Super sir,tanglish
Super sir excellent,tanglish
Nalla samalupan nalla samayal panduranga channel 👌👌👌👍,tanglish
Ayyanaar & team nalla irukeengala always welcome our channel,tanglish
